.,English
ContinueButton,Continue
SearchButton,{action} Search
quest.name,Descent - Campaign Template - Finale
quest.description,NoTextNeededHereBecauseThisTextIsNotShown
EventStart.button1,{qst:ContinueButton}
EventStartRound.button1,{qst:ContinueButton}
EventEndRound.button1,{qst:ContinueButton}
TokenSearch2Players1.button1,{qst:SearchButton}
TokenSearch2Players2.button1,{qst:SearchButton}
TokenSearch3Players.button1,{qst:SearchButton}
TokenSearch4Players.button1,{qst:SearchButton}
EventTokenSearch2Players1.text,Draw a search card and discard this token.
EventTokenSearch2Players1.button1,{qst:ContinueButton}
EventTokenSearch2Players2.text,Draw a search card and discard this token.
EventTokenSearch2Players2.button1,{qst:ContinueButton}
EventTokenSearch3Players.text,Draw a search card and discard this token.
EventTokenSearch3Players.button1,{qst:ContinueButton}
EventTokenSearch4Players.text,Draw a search card and discard this token.
EventTokenSearch4Players.button1,{qst:ContinueButton}
TokenSearch4Players.text,<i>Add some 'heroes have found something'-flavor text here.</i>
TokenSearch3Players.text,<i>Add some 'heroes have found something'-flavor text here.</i>
TokenSearch2Players2.text,<i>Add some 'heroes have found something'-flavor text here.</i>
TokenSearch2Players1.text,<i>Add some 'heroes have found something'-flavor text here.</i>
EventVictory.button1,{qst:ContinueButton}
EventDefeat.button1,{qst:ContinueButton}
TokenDebug.button1,Victory
TokenDebug.button2,Defeat
TokenDebug.text,Finale: Click a button to simulate losing or winning.
EventNoMorale.text,<i>Add some No-Morale flavor text here.</i>
EventNoMorale.button1,{qst:ContinueButton}
EventPlaceTiles.text,Set aside the following tiles:
EventPlaceTiles.button1,{qst:ContinueButton}
EventIntroduction.text,<i>Add introduction text here.</i>
EventIntroduction.button1,{qst:ContinueButton}
DoorButton,{action} Open Door
DoorRuleText,You can open this door with an <b>Open Door</b> action.
Door1.text,<i>Add some flavor text here.</i>\n\n{qst:DoorRuleText}
Door1.button1,{qst:DoorButton}
Door2.text,<i>Add some flavor text here.</i>\n\n{qst:DoorRuleText}
Door2.button1,{qst:DoorButton}
Door3.text,<i>Add some flavor text here.</i>\n\n{qst:DoorRuleText}
Door3.button1,{qst:DoorButton}
Door4.text,<i>Add some flavor text here.</i>\n\n{qst:DoorRuleText}
Door4.button1,{qst:DoorButton}
