.,English
ContinueButton,Continue
quest.name,Valkyrie - Descent - Campaign Template - Campaign Phase
quest.description,Campaign Phase
UIQuest1.text,Add Quest 1 text here.
UIQuest1.button1,Start encounter
UIQuest2.text,Add Quest 2 text here.
UIQuest3.button1,Start encounter
UIQuest4.text,Add Quest 4 text here.
UIQuest2.button1,Start encounter
UIQuest3.text,Add Quest 3 text here.
UIQuest4.button1,Start encounter
UIQuest5.text,Add Quest 5 text here.
UIQuest5.button1,Start encounter
UIQuestFinale.text,Add Finale text here.
UIQuestFinale.button1,Start final encounter
EventBlackMarketNotEnoughGold.text,You consider searching for someone who could give you access to less legal wares, but you realize that you lack the money to do so.\n\nYou are unable to find another merchant.
EventBlackMarketNotEnoughGold.button1,{qst:ContinueButton}
EventButtonClick.button1,{qst:ContinueButton}
EventIconCityStartGame.text,<i>Add some flavor text here what the heroes are planning and which city they are going to.</i>
EventIconCityStartGame.button1,{qst:ContinueButton}
EventStartGameXpAndGold.button1,{qst:ContinueButton}
EventStartGameXpAndGold.text,<b>Starting Equipment</b>\n\nThe heroes start the campaign with {var:$%gold} gold and {var:$%xp} XP.
UICity.text,After an exhausting day you hurry to the city.
UICity.button1,{qst:ContinueButton}
UICityStartGame.text,You start your adventure in this city.
UICityStartGame.button1,{qst:ContinueButton}
EventTransition.text,<b>Transition to Act II</b>\n\nReturn all Act I Monster cards, Lieutenant cards, and Agent cards (if any) to the game box. Only Act II Monster cards, Lieutenant cards, and Agent cards (if any) are used for the remainder of the campaign.\n\n<i>You notice an substantial increase in the number of merchants who are traveling to the city.</i>\n\nYou will be able find additional merchants.
EventTransition.button1,{qst:ContinueButton}
EventCity.button1,Leave the City
EventCity.button2,Restock
EventCity.button3,Visit Black Market
EventCityEL.button1,Leave the City
EventCityEL.button2,Restock
EventCityEL.button3,Visit Black Market
EventBlackMarketVisited.text,You pay the fee and after following your contact through countless backalleys you arrive at the black market.\n\nYou are able to find another merchant.
EventRestockAvailable.text,Due to your prior successes, the city has been able to attract several new merchants.\n\nYou are able to find another merchant.
EventCityAct2.button1,Leave the City
EventCityAct2.button2,Restock
EventCityAct2.button3,Visit Black Market
EventRestock.text,<i>There may be other merchants in town but you are not sure if you have the time to look for them.</i>\n\nYou can restock {var:%RestockAmount} times.\n\nDo you want to restock?
EventRestock.button1,Yes
EventRestock.button2,No
EventLeaveCity.text,Do you really want to leave the city and set off to another adventure?
EventLeaveCity.button1,Yes
EventLeaveCity.button2,No
EventRestockAvailable.button1,{qst:ContinueButton}
EventRestockNotAvailable.text,Unfortunately the merchants have nothing else to offer.\n\nYou are unable to find another merchant.
EventRestockNotAvailable.button1,{qst:ContinueButton}
EventBlackMarketCheck.text,It will take a few hours to find someone who is willing to offer you the less legal wares. And it will cost you...\n\nDo you want to pay {var:EventBlackMarketEntryGold} Gold to gain access to other wares?
EventBlackMarketCheck.button1,Yes
EventBlackMarketCheck.button2,No
EventBlackMarketAlreadyVisited.text,You already visited the black market. There is nothing else for sale.\n\nYou are unable to find another merchant.
EventBlackMarketAlreadyVisited.button1,{qst:ContinueButton}
EventBlackMarketVisited.button1,{qst:ContinueButton}
EventTravelEventRoadNothing.text,<b>Road - Nothing happens</b>\n\n<i>You travel along the road.</i>\n\nNo Effect.
EventTravelEventRoadNothing.button1,{qst:ContinueButton}
EventTravelEventPlainsNothing.text,<b>Plains - Nothing happens</b>\n\n<i>You travel through open plains.</i>\n\nNo Effect.
EventTravelEventPlainsNothing.button1,{qst:ContinueButton}
EventTravelEventForestNothing.text,<b>Forest - Nothing happens</b>\n\n<i>You travel through a thick forest.</i>\n\nNo Effect.
EventTravelEventForestNothing.button1,{qst:ContinueButton}
EventTravelEventWaterNothing.text,<b>Water - Nothing happens</b>\n\n<i>You travel along a river.</i>\n\nNo Effect.
EventTravelEventWaterNothing.button1,{qst:ContinueButton}
EventTravelEventMountainsNothing.text,<b>Mountains - Nothing happens</b>\n\n<i>You travel through the mountains.</i>\n\nNo Effect.
EventTravelEventMountainsNothing.button1,{qst:ContinueButton}
EventTravelEventRoad2.text,<b>Road - Traveling Merchant:</b>\n\n<i>You come across a traveling merchant.</i>\n\nEach hero tests {knowledge} and draws 1 Search card if he passes.
EventTravelEventRoad2.button1,{qst:ContinueButton}
EventTravelEventRoad6.text,<b>Road - Hidden Path:</b>\n\n<i>You find a hidden path and make excellent time!</i>.\n\nYou skip the next Travel Event.
EventTravelEventRoad6.button1,{qst:ContinueButton}
EventTravelEventRoad7.text,<b>Road - Traveling Sage:</b>\n\n<i>A traveling sage gives you access to his library.</i>\n\nHero players choose one hero to test {knowledge}. Did he pass?
EventTravelEventRoad7.button1,No
EventTravelEventRoad7.button2,Yes
EventTravelEventRoad7A.text,<b>Road - Traveling Sage:</b>\n\n<i>Unfortunately you do learn nothing of interest from the sage's library.</i>\n\nNo effect.
EventTravelEventRoad7A.button1,{qst:ContinueButton}
EventTravelEventRoad7B.text,<b>Road - Traveling Sage:</b>\n\n<i>In the Sage's books you learn something about the possible weaknesses of the overlord.</i>\n\nYour morale increases by {var:EventTravelEventRoad7BMorale}.
EventTravelEventRoad7B.button1,{qst:ContinueButton}
EventTravelEventRoad9.text,<b>Road - The Overlord's Spies:</b>\n\n<i>The overlord's spies are everywhere.</i>
EventTravelEventRoad9.button1,{qst:ContinueButton}
EventTravelEventRoad9H2.text,<b>Road - The Overlord's Spies:</b>\n\nEach hero tests {knowledge}.\n\nHow many heroes failed the test?
EventTravelEventRoad9H2.button1,None
EventTravelEventRoad9H2.button2,One
EventTravelEventRoad9H2.button3,Two
EventTravelEventRoad9H3.text,<b>Road - The Overlord's Spies:</b>\n\nEach hero tests {knowledge}.\n\nHow many heroes failed the test?
EventTravelEventRoad9H3.button1,None
EventTravelEventRoad9H3.button2,One
EventTravelEventRoad9H3.button3,Two
EventTravelEventRoad9H3.button4,Three
EventTravelEventRoad9H4.text,<b>Road - The Overlord's Spies:</b>\n\nEach hero tests {knowledge}.\n\nHow many heroes failed the test?
EventTravelEventRoad9H4.button1,None
EventTravelEventRoad9H4.button2,One
EventTravelEventRoad9H4.button3,Two
EventTravelEventRoad9H4.button4,Three
EventTravelEventRoad9H4.button5,Four
EventTravelEventRoad9A.text,<b>Road - The Overlord's Spies:</b>\n\nYou manage to avoid the Overlord's spies.\n\nNo effect.
EventTravelEventRoad9A.button1,{qst:ContinueButton}
EventTravelEventRoad9B.text,<b>Road - The Overlord's Spies:</b>\n\nThe overlord learns valuable informations about your whereabouts.\n\nThe Overlord's reinforcements will arrive sooner.
EventTravelEventRoad9B.button1,{qst:ContinueButton}
EventTravelEventRoad9C.text,<b>Road - The Overlord's Spies:</b>\n\nThe overlord learns valuable informations about your whereabouts.\n\nThe Overlord's reinforcements will arrive sooner.
EventTravelEventRoad9C.button1,{qst:ContinueButton}
EventTravelEventRoad9D.text,<b>Road - The Overlord's Spies:</b>\n\nThe overlord learns valuable informations about your whereabouts.\n\nThe Overlord's reinforcements will arrive sooner.
EventTravelEventRoad9D.button1,{qst:ContinueButton}
EventTravelEventRoad9E.text,<b>Road - The Overlord's Spies:</b>\n\nThe overlord learns valuable informations about your whereabouts.\n\nThe Overlord's reinforcements will arrive sooner.
EventTravelEventRoad9E.button1,{qst:ContinueButton}
EventTravelEventRoad11.text,<b>Road - Wrong turn:</b>\n\n<i>You think you took a wrong turn...</i>\n\nEach hero tests {knowledge} and suffers {var:EventTravelEventRoad11Fatigue} {fatigue} if he fails. Did all heroes pass?
EventTravelEventRoad11.button1,No
EventTravelEventRoad11.button2,Yes
